Row-width,Within-row-spacing,Population,Yield_g_m2,Yield_g_plant
0.25,152,26.3,423,16.1
0.25,76,52.6,462,8.8
0.25,51,78.4,464,5.9
0.25,38,105.3,480,4.6
0.25,31,133.3,480,3.6
0.25,25,160,460,2.9
0.51,152,12.9,325,25.2
0.51,76,25.8,380,14.7
0.51,51,38.4,393,10.2
0.51,38,51.6,395,7.7
0.51,31,65.4,401,6.1
0.51,25,78.4,389,5
0.76,152,8.7,300,34.7
0.76,76,17.3,351,20.3
0.76,51,25.8,376,14.6
0.76,38,34.6,382,11
0.76,31,43.9,382,8.7
0.76,25,52.6,384,7.3
1.02,152,6.4,264,41.3
1.02,76,12.9,324,25.1
1.02,51,19.2,352,18.3
1.02,38,25.8,343,13.3
1.02,31,32.7,353,10.8
1.02,25,39.2,354,9
