Block,Entry,Yield
1,WT,5.53
2,WT,3.8
3,WT,4
4,WT,4.72
5,WT,4.29
6,WT,4.63
7,WT,5.62
8,WT,4.87
9,WT,7.19
10,WT,6.29
11,WT,6.29
12,WT,6.47
13,WT,5.15
14,WT,2.32
15,WT,5.06
1,ND-18-56,3.61
2,ND-18-56,3.69
3,ND-18-56,5.2
4,ND-18-56,6.14
5,ND-18-56,8.16
6,ND-18-56,7.31
7,ND-18-56,9.97
8,ND-18-56,9.73
9,ND-18-56,5.23
10,ND-18-56,5.46
11,ND-18-56,7.63
12,ND-18-56,6.51
13,ND-18-56,5.17
14,ND-18-56,6.01
15,ND-18-56,4.21
1,YZ-26-1C,5.57
2,YZ-26-1C,4.24
3,YZ-26-1C,4.91
4,YZ-26-1C,6.89
5,YZ-26-1C,9.12
6,YZ-26-1C,7.85
7,YZ-26-1C,4.7
8,YZ-26-1C,5.51
9,YZ-26-1C,9.2
10,YZ-26-1C,5.93
11,YZ-26-1C,8.18
12,YZ-26-1C,4.73
13,YZ-26-1C,5.63
14,YZ-26-1C,4.66
15,YZ-26-1C,5.65
1,YZ-19-8A,5.26
2,YZ-19-8A,3.71
3,YZ-19-8A,6.05
4,YZ-19-8A,5.25
5,YZ-19-8A,4.47
6,YZ-19-8A,7.85
7,YZ-19-8A,5.18
8,YZ-19-8A,4.62
9,YZ-19-8A,6.3
10,YZ-19-8A,8.11
11,YZ-19-8A,6.47
12,YZ-19-8A,4.33
13,YZ-19-8A,6.08
14,YZ-19-8A,8.62
15,YZ-19-8A,4.64
1,ND-18-34A,4.93
2,ND-18-34A,3.62
3,ND-18-34A,4.36
4,ND-18-34A,4.93
5,ND-18-34A,4.86
6,ND-18-34A,8.16
7,ND-18-34A,6.83
8,ND-18-34A,6.7
9,ND-18-34A,8.79
10,ND-18-34A,7.03
11,ND-18-34A,8.88
12,ND-18-34A,6.07
13,ND-18-34A,11.29
14,ND-18-34A,5.82
15,ND-18-34A,9.15
1,ND-18-12B,7.84
2,ND-18-12B,4.83
3,ND-18-12B,6.44
4,ND-18-12B,4.34
5,ND-18-12B,7.6
6,ND-18-12B,6.87
7,ND-18-12B,7.43
8,ND-18-12B,6.98
9,ND-18-12B,4.26
10,ND-18-12B,4.99
11,ND-18-12B,4.45
12,ND-18-12B,6.37
13,ND-18-12B,5.56
14,ND-18-12B,6.8
15,ND-18-12B,7.62
1,ND-18-44,2.47
2,ND-18-44,6.36
3,ND-18-44,4.6
4,ND-18-44,6.56
5,ND-18-44,4.7
6,ND-18-44,4.7
7,ND-18-44,3.96
8,ND-18-44,4.53
9,ND-18-44,4.46
10,ND-18-44,8.15
11,ND-18-44,4.47
12,ND-18-44,3.85
13,ND-18-44,6.15
14,ND-18-44,5.06
15,ND-18-44,7.15
1,ND-17-20,3.86
2,ND-17-20,3.29
3,ND-17-20,3.01
4,ND-17-20,7.3
5,ND-17-20,4.99
6,ND-17-20,4.9
7,ND-17-20,7.76
8,ND-17-20,5.21
9,ND-17-20,4.07
10,ND-17-20,5.25
11,ND-17-20,9.54
12,ND-17-20,3.22
13,ND-17-20,5.26
14,ND-17-20,4.69
15,ND-17-20,4.32
1,YZ-19-21,4.54
2,YZ-19-21,4.35
3,YZ-19-21,4.95
4,YZ-19-21,11.81
5,YZ-19-21,8.21
6,YZ-19-21,6.5
7,YZ-19-21,3.98
8,YZ-19-21,6.23
9,YZ-19-21,4.9
10,YZ-19-21,6.72
11,YZ-19-21,5.81
12,YZ-19-21,5.82
13,YZ-19-21,6.11
14,YZ-19-21,8.14
15,YZ-19-21,5.85
